time_(fs),degree of alignment
0.0,0.33849027721702996
32.06412825651303,0.3410134596361691
64.12825651302606,0.34327450054427444
96.19238476953909,0.34520184064035087
128.25651302605212,0.34674069110827677
160.32064128256513,0.3478552238696854
192.38476953907818,0.34852954193247004
224.4488977955912,0.34876741965455105
256.51302605210424,0.34859089652986835
288.57715430861725,0.3480378898792093
320.64128256513027,0.34715905477803566
352.7054108216433,0.34601415915855915
384.76953907815636,0.3446682563969048
416.83366733466937,0.3431879275908331
448.8977955911824,0.34163783424532096
480.9619238476954,0.3400777741130547
513.0260521042085,0.3385603744953007
545.0901803607214,0.33712949476580156
577.1543086172345,0.33581934925620055
609.2184368737476,0.33465430801816776
641.2825651302605,0.3336492900900294
673.3466933867736,0.33281063392814514
705.4108216432866,0.3321373132457668
737.4749498997996,0.33162236288289276
769.5390781563127,0.331254386675659
801.6032064128257,0.3310190350591782
833.6673346693387,0.33090036145935225
865.7314629258518,0.33088199058045414
897.7955911823648,0.3309480559762657
929.8597194388778,0.3310838868278823
961.9238476953908,0.33127644328987316
993.9879759519039,0.33151451538856597
1026.052104208417,0.33178871210373906
1058.11623246493,0.3320912752173317
1090.1803607214429,0.3324157573326293
1122.244488977956,0.3327566058407551
1154.308617234469,0.33310869520263636
1186.372745490982,0.3334668492529277
1218.4368737474952,0.3338253936393372
1250.5010020040081,0.33417777607524285
1282.565130260521,0.33451628868194033
1314.6292585170343,0.33483192205430856
1346.6933867735472,0.3351143744647823
1378.7575150300602,0.33535223153814675
1410.8216432865731,0.3355333216552226
1442.8857715430863,0.33564524040299054
1474.9498997995993,0.3356760240286837
1507.0140280561122,0.33561493786602964
1539.0781563126254,0.33545333218816487
1571.1422845691384,0.3351855062404308
1603.2064128256513,0.33480951275247833
1635.2705410821645,0.33432783138561173
1667.3346693386775,0.33374784143891534
1699.3987975951904,0.33308203237135847
1731.4629258517036,0.3323479053544454
1763.5270541082166,0.33156753951795
1795.5911823647295,0.3307668214505588
1827.6553106212425,0.329974363896468
1859.7194388777557,0.3292201670079726
1891.7835671342687,0.3285341003031511
1923.8476953907816,0.3279443030278789
1955.9118236472948,0.327475612690525
1987.9759519038078,0.3271481345336374
2020.0400801603207,0.32697605790773066
2052.104208416834,0.3269668091913843
2084.168336673347,0.32712060633698
2116.23246492986,0.3274304494815441
2148.296593186373,0.3278825481834456
2180.3607214428857,0.32845715192290775
2212.424849699399,0.3291297197365164
2244.488977955912,0.329872340091733
2276.553106212425,0.330655295534973
2308.617234468938,0.33144865956738456
2340.681362725451,0.33222381591484995
2372.745490981964,0.33295480216537193
2404.809619238477,0.33361939907665294
2436.8737474949903,0.33419991148285366
2468.9378757515033,0.3346836140522194
2501.0020040080162,0.3350628624989247
2533.066132264529,0.33533489578867093
2565.130260521042,0.33550137541731734
2597.194388777555,0.3355677226325478
2629.2585170340685,0.33554232286190533
2661.3226452905815,0.33543566864863994
2693.3867735470944,0.33525950872043997
2725.4509018036074,0.3350260625141662
2757.5150300601204,0.3347473479061159
2789.5791583166333,0.33443465648165194
2821.6432865731463,0.33409819675435304
2853.7074148296597,0.33374691241824
2885.7715430861726,0.33338847077931283
2917.8356713426856,0.33302940641452083
2949.8997995991986,0.3326753969773883
2981.9639278557115,0.332331641785443
3014.0280561122245,0.33200330910223946
3046.092184368738,0.33169601453451225
3078.156312625251,0.3314162904312731
3110.220440881764,0.3311720044763163
3142.2845691382768,0.3309726849009141
3174.3486973947897,0.3308297102350226
3206.4128256513027,0.3307563237966983
3238.4769539078156,0.3307674378605192
3270.541082164329,0.33087920033902135
3302.605210420842,0.33110830842629896
